"","CODIGO_ENTIDAD","NOMBRE","TIPO_GESTION","ESTADO_LICENCIAMIENTO","PERIODO_LICENCIAMIENTO","DEPARTAMENTO_LOCAL","PROVINCIA_LOCAL","DISTRITO_LOCAL","LATITUD_UBICACION","LONGITUD_UBICACION"
"88","065","UNIVERSIDAD TECNOLÓGICA DEL PERÚ S.A.C.","PRIVADO","LICENCIA OTORGADA",6,"LIMA","LIMA","LIMA",-12.0648091,-77.0363951
"89","147","UNIVERSIDAD SEMINARIO EVANGÉLICO DE LIMA","PRIVADO","LICENCIA DENEGADA",0,"LIMA","LIMA","LA MOLINA",-12.0638224,-76.9601327
"90","107","UNIVERSIDAD DE LAMBAYEQUE S.A.C.","PRIVADO","LICENCIA DENEGADA",0,"LAMBAYEQUE","CHICLAYO","CHICLAYO",-6.7745742,-79.8450745
"91","084","UNIVERSIDAD NACIONAL INTERCULTURAL DE LA AMAZONÍA","PÚBLICO","LICENCIA OTORGADA",6,"UCAYALI","CORONEL PORTILLO","YARINACOCHA",-8.3478339,-74.5906663
"92","029","UNIVERSIDAD DE PIURA","PRIVADO","LICENCIA OTORGADA",8,"PIURA","PIURA","PIURA",-5.1766923,-80.6346434
"93","017","UNIVERSIDAD DEL PACÍFICO","PRIVADO","LICENCIA OTORGADA",8,"LIMA","LIMA","JESÚS MARÍA",-12.0843230461761,-77.0481402404755
"94","046","UNIVERSIDAD PRIVADA ANTENOR ORREGO","PRIVADO","LICENCIA OTORGADA",6,"LA LIBERTAD","TRUJILLO","TRUJILLO",-8.12790635183234,-79.0323607289749
"95","124","UNIVERSIDAD NACIONAL INTERCULTURAL DE LA SELVA CENTRAL JUAN SANTOS ATAHUALPA","PÚBLICO","LICENCIA OTORGADA",6,"JUNÍN","CHANCHAMAYO","CHANCHAMAYO",-11.0565533511917,-75.3319513674591
"96","062","UNIVERSIDAD CATÓLICA SAN PABLO","PRIVADO","LICENCIA OTORGADA",6,"AREQUIPA","AREQUIPA","AREQUIPA",-16.3901384,-71.5357161
"97","095","UNIVERSIDAD NACIONAL DE MOQUEGUA","PÚBLICO","LICENCIA OTORGADA",6,"MOQUEGUA","MARISCAL NIETO","MOQUEGUA",-17.6018392336961,-71.3409272490738
